Year,Month,Day,Block,Row,Column,Induc_perc,MaleOpen_perc,FemaleOpen_perc,MonoOpen_perc,SeedHard_perc
2019,May,20,1,1,A,0,0,0,0,0
2019,May,20,1,1,B,0,0,0,0,0
2019,May,20,1,1,C,0,0,0,0,0
2019,May,20,1,1,D,0,0,0,0,0
2019,May,20,1,2,A,0,0,0,0,0
2019,May,20,1,2,B,0,0,0,0,0
2019,May,20,1,2,C,100,0,0,0,0
2019,May,20,1,2,D,10,0,0,0,0
2019,May,20,2,3,A,100,0,0,0,0
2019,May,20,2,3,B,0,0,0,0,0
2019,May,20,2,3,C,40,0,0,0,0
2019,May,20,2,3,D,0,0,0,0,0
2019,May,20,2,4,A,0,0,0,0,0
2019,May,20,2,4,B,0,0,0,0,0
2019,May,20,2,4,C,0,0,0,0,0
2019,May,20,2,4,D,0,0,0,0,0
2019,May,20,3,1,A,20,0,0,0,0
2019,May,20,3,1,B,20,0,0,0,0
2019,May,20,3,1,C,0,0,0,0,0
2019,May,20,3,1,D,80,0,0,0,0
2019,May,20,3,2,A,,,,,
2019,May,20,3,2,B,0,0,0,0,0
2019,May,20,3,2,C,,,,,
2019,May,20,3,2,D,100,0,0,0,0
2019,May,20,4,3,A,0,0,0,0,0
2019,May,20,4,3,B,100,0,0,0,0
2019,May,20,4,3,C,0,0,0,0,0
2019,May,20,4,3,D,0,0,0,0,0
2019,May,20,4,4,A,80,0,0,0,0
2019,May,20,4,4,B,80,0,0,0,0
2019,May,20,4,4,C,0,0,0,0,0
2019,May,20,4,4,D,0,0,0,0,0
2019,May,24,1,1,A,0,0,0,0,0
2019,May,24,1,1,B,0,0,0,0,0
2019,May,24,1,1,C,0,0,0,0,0
2019,May,24,1,1,D,0,0,0,0,0
2019,May,24,1,2,A,0,0,0,0,0
2019,May,24,1,2,B,10,0,0,0,0
2019,May,24,1,2,C,100,0,0,0,0
2019,May,24,1,2,D,80,0,0,0,0
2019,May,24,2,3,A,0,0,0,0,0
2019,May,24,2,3,B,20,0,0,0,0
2019,May,24,2,3,C,90,0,0,0,0
2019,May,24,2,3,D,0,0,0,0,0
2019,May,24,2,4,A,100,0,0,0,0
2019,May,24,2,4,B,0,0,0,0,0
2019,May,24,2,4,C,0,0,0,0,0
2019,May,24,2,4,D,0,0,0,0,0
2019,May,24,3,1,A,30,0,0,0,0
2019,May,24,3,1,B,0,0,0,0,0
2019,May,24,3,1,C,0,0,0,0,0
2019,May,24,3,1,D,90,0,0,0,0
2019,May,24,3,2,A,,,,,
2019,May,24,3,2,B,0,0,0,0,0
2019,May,24,3,2,C,,,,,
2019,May,24,3,2,D,90,0,0,0,0
2019,May,24,4,3,A,0,0,0,0,0
2019,May,24,4,3,B,100,0,0,0,0
2019,May,24,4,3,C,0,0,0,0,0
2019,May,24,4,3,D,0,0,0,0,0
2019,May,24,4,4,A,80,0,0,0,0
2019,May,24,4,4,B,40,0,0,0,0
2019,May,24,4,4,C,0,0,0,0,0
2019,May,24,4,4,D,0,0,0,0,0
2019,May,29,1,1,A,0,0,0,0,0
2019,May,29,1,1,B,0,0,0,0,0
2019,May,29,1,1,C,0,0,0,0,0
2019,May,29,1,1,D,0,0,0,0,0
2019,May,29,1,2,A,0,0,0,0,0
2019,May,29,1,2,B,60,70,30,0,0
2019,May,29,1,2,C,90,40,60,0,0
2019,May,29,1,2,D,85,80,20,0,0
2019,May,29,2,3,A,0,0,0,0,0
2019,May,29,2,3,B,60,80,20,0,0
2019,May,29,2,3,C,70,70,30,0,0
2019,May,29,2,3,D,0,0,0,0,0
2019,May,29,2,4,A,85,40,60,0,0
2019,May,29,2,4,B,0,0,0,0,0
2019,May,29,2,4,C,0,0,0,0,0
2019,May,29,2,4,D,0,0,0,0,0
2019,May,29,3,1,A,80,50,0,0,0
2019,May,29,3,1,B,0,0,0,0,0
2019,May,29,3,1,C,0,0,0,0,0
2019,May,29,3,1,D,80,80,20,0,0
2019,May,29,3,2,A,,,,,
2019,May,29,3,2,B,0,0,0,0,0
2019,May,29,3,2,C,,,,,
2019,May,29,3,2,D,85,60,40,0,0
2019,May,29,4,3,A,0,0,0,0,0
2019,May,29,4,3,B,20,30,,0,0
2019,May,29,4,3,C,0,0,0,0,0
2019,May,29,4,3,D,0,0,0,0,0
2019,May,29,4,4,A,80,70,30,0,0
2019,May,29,4,4,B,60,80,20,0,0
2019,May,29,4,4,C,0,0,0,0,0
2019,May,29,4,4,D,0,0,0,0,0
2019,May,31,1,1,A,0,0,0,0,0
2019,May,31,1,1,B,0,0,0,0,0
2019,May,31,1,1,C,0,0,0,0,0
2019,May,31,1,1,D,0,0,0,0,0
2019,May,31,1,2,A,0,0,0,0,0
2019,May,31,1,2,B,80,50,50,0,0
2019,May,31,1,2,C,90,20,80,0,0
2019,May,31,1,2,D,90,50,50,0,0
2019,May,31,2,3,A,0,0,0,0,0
2019,May,31,2,3,B,70,60,40,0,0
2019,May,31,2,3,C,80,70,30,0,0
2019,May,31,2,3,D,0,0,0,0,0
2019,May,31,2,4,A,90,30,70,0,0
2019,May,31,2,4,B,0,0,0,0,0
2019,May,31,2,4,C,0,0,0,0,0
2019,May,31,2,4,D,0,0,0,0,0
2019,May,31,3,1,A,80,60,40,0,0
2019,May,31,3,1,B,0,0,0,0,0
2019,May,31,3,1,C,0,0,0,0,0
2019,May,31,3,1,D,80,50,50,0,0
2019,May,31,3,2,A,,,,,
2019,May,31,3,2,B,0,0,0,0,0
2019,May,31,3,2,C,,,,,
2019,May,31,3,2,D,90,20,80,0,0
2019,May,31,4,3,A,0,0,0,0,0
2019,May,31,4,3,B,60,20,80,0,0
2019,May,31,4,3,C,0,0,0,0,0
2019,May,31,4,3,D,0,0,0,0,0
2019,May,31,4,4,A,80,40,60,0,0
2019,May,31,4,4,B,60,60,40,0,0
2019,May,31,4,4,C,0,0,0,0,0
2019,May,31,4,4,D,0,0,0,0,0
2019,Jun,5,1,1,A,0,0,0,0,0
2019,Jun,5,1,1,B,0,0,0,0,0
2019,Jun,5,1,1,C,0,0,0,0,0
2019,Jun,5,1,1,D,0,0,0,0,0
2019,Jun,5,1,2,A,0,0,0,0,0
2019,Jun,5,1,2,B,90,0,0,0,0
2019,Jun,5,1,2,C,100,0,0,30,0
2019,Jun,5,1,2,D,100,25,0,0,0
2019,Jun,5,2,3,A,0,0,0,0,0
2019,Jun,5,2,3,B,30,0,0,0,0
2019,Jun,5,2,3,C,95,10,0,0,0
2019,Jun,5,2,3,D,100,0,0,0,0
2019,Jun,5,2,4,A,100,100,100,30,0
2019,Jun,5,2,4,B,0,0,0,0,0
2019,Jun,5,2,4,C,0,0,0,0,0
2019,Jun,5,2,4,D,0,0,0,0,0
2019,Jun,5,3,1,A,95,50,50,0,0
2019,Jun,5,3,1,B,0,0,0,0,0
2019,Jun,5,3,1,C,0,0,0,0,0
2019,Jun,5,3,1,D,100,55,0,0,0
2019,Jun,5,3,2,A,,,,,
2019,Jun,5,3,2,B,0,0,0,0,0
2019,Jun,5,3,2,C,,,,,
2019,Jun,5,3,2,D,100,0,0,0,0
2019,Jun,5,4,3,A,0,0,0,0,0
2019,Jun,5,4,3,B,100,50,50,0,0
